year,age_avg,years_homeless_avg,pct_mental_health,pct_substance_use,pct_outdoor_sleeping,pct_chronic,pct_lgbtq,pct_indigenous,pct_immigrant,pct_youth,pct_no_income,pct_foster_care,pct_incarceration,pct_housing_loss_income,pct_physical_health,true_total,flow_active_homeless,newly_identified,flow_growth_rate
2013,16.367173618430957,3.669090498418913,0.36003613913567234,0.2736033729859961,0.1656377051648848,0.6361993675651257,0.0,0.007227827134467701,0.0,0.94910405059479,0.0,0.09712392711940973,0.08357175124228279,0.0,0.0,7178,7177.5,8297.0,0.00035424131382866264
2014,18.430681183696258,2.755424343941932,0.34394193188163036,0.2537688442211055,0.16345616973757676,0.4945561139028476,0.0,0.006700167504187605,0.0,0.8584589614740369,0.0,0.09952540480178672,0.08068118369625907,0.0,0.0,7181,7180.791666666666,8297.0,0.00045860907929862194
2015,22.178130417388985,1.8247953060408053,0.3255100680090679,0.23896519535938124,0.15295372716362182,0.3685824776636885,0.0,0.0,0.0,0.6878250433391119,0.0,0.10908121082811041,0.08667822376316842,0.0,0.0,7193,7192.583333333334,8297.0,0.0016421123483367772
2016,27.390839221519773,1.1388967398041403,0.3208131895376224,0.2315606793107723,0.15123342010660717,0.2583364323788273,0.0,0.0,0.0,0.4787405479112433,0.0,0.10561547043510598,0.08392215197719102,0.0,0.0,7199,7198.875,8297.0,0.0008747436595566427
2017,34.27930199974525,0.5756795312699019,0.3107884345943192,0.22060883963826264,0.14711501719526174,0.15908801426569863,0.0,0.0,0.0,0.27168513565150937,0.0,0.12113106610622851,0.0938733919245956,0.0,0.0,6432,6432.1041095890405,8297.0,-0.10651259959520887
2018,36.88185840707965,0.5022231161169214,0.5561812818449987,0.138911236256369,0.0925181013676589,0.2752748726200054,0.0,0.0,0.0,0.21292571735049612,0.0,0.30303030303030304,0.2540895682488603,0.0,0.0,6927,6926.879223744293,14442.0,0.07692274654224529
2019,37.352477113624126,2.593507000538503,0.5708131394722671,0.14270328486806677,0.11725901992460959,0.3212170166935918,0.03325255788906839,0.0,0.06987075928917609,0.1972267097469036,0.026117393645665052,0.3148896068928379,0.2552504038772213,0.1147011308562197,0.08648718949148133,7086,7086.235692541857,13124.0,0.02300552148380386
2020,39.243975903614455,5.1497861445783135,0.5731927710843373,0.26385542168674697,0.2355421686746988,0.422289156626506,0.06882530120481928,0.01144578313253012,0.14879518072289158,0.16430722891566266,0.059939759036144576,0.29713855421686747,0.24728915662650602,0.2322289156626506,0.17297437898296267,6400,6399.610655737705,7617.0,-0.09689559684372528
2021,41.07480916030534,6.668573724387304,0.47743404312307486,0.39480380340163385,0.3333333333333333,0.4428820141957948,0.0920048212133387,0.049551359314316326,0.22030266505959556,0.12869961162448104,0.08557653676175171,0.1743672157492969,0.13151198607205036,0.354894870764698,0.259461568474444,7219,7218.708333333334,8297.0,0.12799179851062492
2022,40.125221714592854,7.360944638538028,0.5389680193496372,0.42972319269013703,0.3340499865627519,0.4709755442085461,0.11005106154259607,0.044477291050792796,0.23824240795485085,0.14955657081429724,0.09849502821822091,0.2038430529427573,0.1570814297231927,0.389008331093792,0.2918942645337495,7232,7232.083333333334,9795.0,0.0018528245473279359
2023,38.81639630646369,7.818703518842026,0.5777389568255553,0.43211879211380083,0.3364112802595458,0.48752183678562516,0.11966558522585476,0.027451959071624656,0.26977788869478414,0.17232343399051658,0.11380084851509857,0.2166209134015473,0.1669578238083354,0.4286249064137759,0.324326960593055,7828,7828.423135464232,10183.0,0.08245754019209284
2024,38.15987639360155,9.547868395540474,0.5803441589917596,0.43468250121182744,0.3380998545807077,0.652569074163839,0.13523994183228308,0.015996122152205527,0.29944255937954434,0.18213766359670383,0.1154871546291808,0.2458797867183713,0.1869849733397964,0.4744304411051866,0.35675965665236054,8082,8082.372950819673,7071.0,0.032439459513244895
2025,38.80306337591467,9.634063003844723,0.5799330274091529,0.43395758402579687,0.3378395138285998,0.6514944809624209,0.14237876720823514,0.032494108892471785,0.32184050601513087,0.17053206002728513,0.13481334490884286,0.2667741535408657,0.20563065856381,0.523378395138286,0.389192352711666,7901,7900.645662100457,6677.0,-0.02248439781546907
2026,40.14837662337662,9.57298024891775,0.578327922077922,0.4330357142857143,0.33698593073593075,0.588474025974026,0.15408549783549783,0.05627705627705628,0.3621482683982684,0.143262987012987,0.13933982683982685,0.2878787878787879,0.22727272727272727,0.5603354978354979,0.4216250487709715,7247,7246.875,1241.0,-0.08274901698687831
