year,d_p,rmse,max_error,mean_pct_error
2013,18400122.1230179,1189.7033283398493,2190.0,351.63556371614277
2014,8387978.830744005,803.2615643901194,1408.19,204.3691948511378
2015,2610590.9087044443,448.12351565718717,894.0699999999997,79.55967835238599
2016,1666041.3754618494,357.9902636688332,868.0,14.819363832329735
2017,5094671.926293168,626.017444233058,1419.0,16.903000421466654
2018,1468196.1661719512,336.06274210125054,745.7299999999996,29.954634471104193
2019,948473.8514745507,270.11021275861435,497.5126034460927,29.16846746808657
2020,768286.9218707304,243.10284652808198,427.2920299336711,21.473800653773797
2021,1042460.0799479678,283.17704165252246,495.3861322088669,16.091045208985147
2022,912140.4686112124,264.8861103033372,469.7409638554218,16.269346675151635
2023,796556.590913554,247.5350155360393,445.60316265060237,15.518995671444532
2024,641893.1360910689,222.2079995948129,400.5261671686749,16.360299553550604
2025,649976.7517402241,223.6027988919748,407.04781626506065,14.714050487226316
2026,641131.9323378664,222.0762052743757,404.91067394578295,13.964453028310395
