year,cluster,actual_count,actual_pct,pred_pct,is_forecast
2013,0,2495.0,0.20857716100986456,0.20843819723085644,False
2014,0,,,0.19714801594211107,True
2015,0,,,0.18490068629573436,True
2016,0,,,0.1726778948114313,True
2017,0,,,0.15995787145678603,True
2018,0,1695.0,0.14681680381117368,0.14687332294813,False
2019,0,,,0.1333675820396028,True
2020,0,,,0.1109137437551519,True
2021,0,898.0,0.07820937118968821,0.07847368531780047,False
2022,0,,,0.07079284298972695,True
2023,0,,,0.053727218025337115,True
2024,0,,,0.03183911182911886,True
2025,0,,,0.03621430772791417,True
2026,0,,,0.044618134224405546,True
2013,1,0.0,0.0,0.029984341562598344,False
2014,1,,,0.029984341562598344,True
2015,1,,,0.029984341562598344,True
2016,1,,,0.029984341562598344,True
2017,1,,,0.029984341562598344,True
2018,1,0.0,0.0,0.029984341562598344,False
2019,1,,,0.029984341562598344,True
2020,1,,,0.053199891387685605,True
2021,1,1004.0,0.08744121233234628,0.08750845098566898,False
2022,1,,,0.09599757129007247,True
2023,1,,,0.10676200238623343,True
2024,1,,,0.11727982004181847,True
2025,1,,,0.12771339743985566,True
2026,1,,,0.14162086997304232,True
2013,2,3692.0,0.30864403945828456,0.30837107843920625,False
2014,2,,,0.2881887252704572,True
2015,2,,,0.26848093236970494,True
2016,2,,,0.2248112639227713,True
2017,2,,,0.20615576250836967,True
2018,2,2070.0,0.17929839757470767,0.1795142296182057,False
2019,2,,,0.16364162887337036,True
2020,2,,,0.09829072622285553,True
2021,2,662.0,0.057655460721128725,0.058261461102285694,False
2022,2,,,0.05978171762065883,True
2023,2,,,0.06363096095169785,True
2024,2,,,0.058837922888123645,True
2025,2,,,0.04949314663202842,True
2026,2,,,0.0416582665373322,True
2013,3,0.0,0.0,0.00047557242812914054,False
2014,3,,,0.00047557242812914054,True
2015,3,,,0.000864010378395928,True
2016,3,,,0.0014667086043397722,True
2017,3,,,0.0006294552667045544,True
2018,3,0.0,0.0,0.008875292977922236,False
2019,3,,,0.08513765636285457,True
2020,3,,,0.2350566423259679,True
2021,3,3468.0,0.30203797247866226,0.3016703788903415,False
2022,3,,,0.3399425726501515,True
2023,3,,,0.37958958272095766,True
2024,3,,,0.4242926351844955,True
2025,3,,,0.43200692170475313,True
2026,3,,,0.42572251812104256,True
2013,4,4833.0,0.4040294265173048,0.40498210031683884,False
2014,4,,,0.4221469653535135,True
2015,4,,,0.4483348392163846,True
2016,4,,,0.4860634042562657,True
2017,4,,,0.5095467309575736,True
2018,4,6874.0,0.5954092680814205,0.5941828497469505,False
2019,4,,,0.49218635296855356,True
2020,4,,,0.28764003079658584,True
2021,4,1946.0,0.16948266852464727,0.16959485353981565,False
2022,4,,,0.12525702988871953,True
2023,4,,,0.08832479147628154,True
2024,4,,,0.06305009544462663,True
2025,4,,,0.05438575061710389,True
2026,4,,,0.051963269861243506,True
2013,5,942.0,0.07874937301454606,0.07915068466996115,False
2014,5,,,0.09144207997709315,True
2015,5,,,0.09816558059160409,True
2016,5,,,0.11431081722408294,True
2017,5,,,0.12250268141451663,True
2018,5,906.0,0.07847553053269814,0.07936689014982451,False
2019,5,,,0.09674465546476711,True
2020,5,,,0.21344026631213353,True
2021,5,3504.0,0.30517331475352727,0.30422566777890997,False
2022,5,,,0.31008901214533,True
2023,5,,,0.3056373398258492,True
2024,5,,,0.3054079822560687,True
2025,5,,,0.29962440386402833,True
2026,5,,,0.29599602949446596,True
