year,age_avg,years_homeless_avg,pct_mental_health,pct_substance_use,pct_physical_health,pct_outdoor_sleeping,pct_chronic,pct_lgbtq,pct_indigenous,pct_immigrant,pct_youth,pct_no_income,pct_foster_care,pct_incarceration,pct_housing_loss_income,true_total,flow_active_homeless,newly_identified,flow_growth_rate
2013,41.663234884368904,3.6910114237949294,0.0,0.0,0.0,0.0,0.5718863193089997,0.0,0.0,0.0,0.11967121760936195,0.0,0.0,0.0,0.0,7178,7177.5,8297.0,0.00035424131382866264
2014,85.0,2.698358167386158,0.0,0.0,0.0,0.0,0.46804066286032586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7181,7180.791666666666,8297.0,0.00045860907929862194
2015,85.0,1.9045155011817045,0.0,0.0,0.0,0.0,0.39190880022243846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7193,7192.583333333334,8297.0,0.0016421123483367772
2016,85.0,1.3061327962216975,0.0,0.0,0.0,0.0,0.2849006806500903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7199,7198.875,8297.0,0.0008747436595566427
2017,85.0,0.7843097014925373,0.0,0.0,0.0,0.0,0.1935634328358209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6432,6432.1041095890405,8297.0,-0.10651259959520887
2018,35.40639526490544,0.655404937202252,0.0,0.0,0.0,0.0,0.29392233290024544,0.0,0.0,0.0,0.2335787498195467,0.0,0.0,0.0,0.0,6927,6926.879223744293,14442.0,0.07692274654224529
2019,36.17149308495625,3.039988710132656,0.16948913350268136,0.1359017781541067,0.08834321196725939,0.12164832063223258,0.336155800169348,0.03429297205757832,0.038667795653401074,0.07140841095117133,0.2243861134631668,0.0275190516511431,0.06054191363251482,0.04812305955405024,0.10781823313576065,7086,7086.235692541857,13124.0,0.02300552148380386
2020,38.144734375,5.673321875,0.33390625,0.27921875,0.17765625,0.24921875,0.44265625,0.06421875,0.07984375,0.13921875,0.1703125,0.0553125,0.12171875,0.0909375,0.2321875,6400,6399.610655737705,7617.0,-0.09689559684372528
2021,39.62784319157778,7.610209170245186,0.5049175786119962,0.415847070231334,0.2640254882947777,0.3716581243939604,0.4664080897631251,0.09696633882809254,0.1259177171353373,0.21914392575148914,0.15237567530128826,0.08394514475689153,0.17869511012605624,0.1336750242415847,0.3449231195456434,7219,7218.708333333334,8297.0,0.12799179851062492
2022,38.82759955752213,8.333809457964602,0.5725940265486725,0.47220685840707965,0.2858130530973451,0.427820796460177,0.4932245575221239,0.11449115044247787,0.10896017699115045,0.24640486725663716,0.16772676991150443,0.09430309734513274,0.20284845132743362,0.15763274336283187,0.384679203539823,7232,7232.083333333334,9795.0,0.0018528245473279359
2023,37.18541134389372,8.756303014818599,0.6383495145631068,0.5185232498722534,0.3316300459887583,0.4701073071027082,0.5194174757281553,0.11893203883495146,0.08635666836995401,0.2687787429739397,0.1931527848748084,0.10820132856412877,0.2250894225855902,0.1764179867143587,0.43025038323965253,7828,7828.423135464232,10183.0,0.08245754019209284
2024,36.01254639940609,10.345060628557288,0.6947537738183618,0.5800544419698095,0.36513239297203665,0.5097748082157881,0.6759465478841871,0.13474387527839643,0.060133630289532294,0.2892848304875031,0.2269240287057659,0.12014352882949765,0.2412769116555308,0.1880722593417471,0.47129423410047017,8082,8082.372950819673,7071.0,0.032439459513244895
2025,37.0583217314264,10.779481078344512,0.7515504366535881,0.6054929755727123,0.3841285913175547,0.5542336413112264,0.6659916466270093,0.14631059359574738,0.07556005568915328,0.3266675104417162,0.2044045057587647,0.12985698012909758,0.26363751423870396,0.2032654094418428,0.5233514744968991,7901,7900.645662100457,6677.0,-0.02248439781546907
2026,38.12744583965779,10.628195115220091,0.814267972954326,0.6806954601904236,0.4245894853042638,0.6094935835518146,0.6012142955705809,0.16075617496895267,0.11190837587967435,0.350489857872223,0.17841865599558437,0.144335587139506,0.28784324548088863,0.2162274044432179,0.5576100455360838,7247,7246.875,1241.0,-0.08274901698687831
